,stay_name,postal_code,manager,contact_number,address,latitude,longitude,description,stay_scale,capacity,room_count,room_type,reservation_info,식음료장,부대 시설,세미나,스포츠시설,사우나실,뷰티 시설,노래방,바베큐장,캠프화이어,자전거대여,휘트니스센터,공용 PC실,공용 샤워실,상세정보,환불규정,korea_tourism_certified,parking_available,parking_count,cook_available,check_in_time,check_in_additonal_info,check_in_time,check_out_time,check_out_additonal_info,check_out_time,homepage_url,pickup_additional_info,pickup_available
0,카이 호스텔,63011,,064-796-2428,제주특별자치도 제주시 한림읍 협재2길 10,33.3921266889,126.2413195468,"제주 서해안을 바라보고 있는 ‘카이 리조트’는 앞으로는 제주를 대표하는 코발트빛 협재 해수욕장이 펼쳐져 있고, 뒤로는 사계절 푸르른 한림공원이 펼쳐져 있어 향긋한 바다향과 싱그러운 풀 내음을 동시에 느낄 수 있다. 창밖으로 펼쳐지는 협재 바다와 2013년형 최신식 시설로 가족, 연인, 친구들과 함께 잊지 못할 추억을 만들 수 있다.",,,22.0,,064-796-2428,"식당, 바비큐장","야외 수영장, 셀프 세탁실, 골프 연습장, 공용PC실",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:스탠다드룸(한실, 양실)
객실크기:15평
객실수:0
기준인원:2최대인원:3
※ 위 정보는 2022년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 130000)
비수기주말최소:90000(성수기: 130000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:트윈룸
객실크기:18평
객실수:0
기준인원:3최대인원:4
※ 위 정보는 2022년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:90000(성수기: 170000)
비수기주말최소:100000(성수기: 170000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:디럭스룸
객실크기:22평
객실수:0
기준인원:4최대인원:5
※ 위 정보는 2022년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:140000(성수기: 190000)
비수기주말최소:150000(성수기: 190000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:패밀리룸
객실크기:28평
객실수:0
기준인원:5최대인원:6
※ 위 정보는 2022년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:160000(성수기: 220000)
비수기주말최소:170000(성수기: 220000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:스위트 트윈룸
객실크기:18평
객실수:0
기준인원:4최대인원:4
※ 위 정보는 2022년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:120000(성수기: 170000)
비수기주말최소:130000(성수기: 170000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
",,False,True,,False,15:00,,15:00,11:30,,11:30,http://www.jejukai.com,,
1,돈내코힐 리조트,63582,오순제,010-7277-1439,제주특별자치도 서귀포시 돈내코로 180(상효동),33.3029335392,126.5785144865,"돈내코 힐리조트는 중문 관광단지를 포함하여 아름다운 제주의 여러 명소들과의 접근성이 매우 좋은 교통의 요지에 위치하고 있으며, 용천수인 돈내코 계곡과 300m 거리에 있어 산책과 물놀이에 최적의 입지이다.<br><br>
편의시설, 의료시설들과 5분 거리 내에 위치하며, 산록도로 주변 8개 골프장이 10분 거리에 위치해 있다.",3층 건물 8채,141.0,38.0,,064-762-8400,흑돼지 식당,,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:디럭스
객실크기:0평
객실수:0
기준인원:2최대인원:3
null
비수기주중최소:130000(성수기: 180000)
비수기주말최소:140000(성수기: 180000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:디럭스 스파
객실크기:0평
객실수:0
기준인원:2최대인원:3
null
비수기주중최소:160000(성수기: 210000)
비수기주말최소:170000(성수기: 210000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:스위트 스파
객실크기:0평
객실수:0
기준인원:2최대인원:4
null
비수기주중최소:190000(성수기: 240000)
비수기주말최소:200000(성수기: 240000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:프리미엄 스파
객실크기:0평
객실수:0
기준인원:2최대인원:4
null
비수기주중최소:210000(성수기: 260000)
비수기주말최소:220000(성수기: 260000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:패밀리 스파
객실크기:0평
객실수:0
기준인원:4최대인원:6
null
비수기주중최소:250000(성수기: 300000)
비수기주말최소:260000(성수기: 300000)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
","- 입실 9일 전 100% 환불<br>
- 입실 8~5일 전 70% 환불<br>
- 입실 4~3일 전 50% 환불<br>
- 입실 2일 전 20% 환불<br>
- 입실 1일 전 ~ 당일 환불 불가",False,True,40,True,15:00,,15:00,11:00,,11:00,http://www.donnaekohill.com/,,False
2,바다해호텔,63596,최성환,064-762-5530,제주특별자치도 서귀포시 천지연로 3-1(서귀동),33.2414512305,126.5656503182,"바다 해 호텔은 서귀포 항에 위치한 신축 호텔로 부담 없는 가격과 양질의 객실 서비스, 청결한 객실 관리를 하고 있다. 관광단지에 인접하여 있고 시내권에 위치하여 관광 및 비즈니스 차 제주를 방문한 고객들에게 부담 없는 숙박 시설이다.","240평, 4층",54.0,18.0,,,없음,,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,"입실 9일 전 전액 환불, 입실 8~5일 전 50% 환불, 입실 2일 전 20% 환불, 입실 1일 전~당일 취소 환불 불가",False,False,,False,16:00,,16:00,11:00,,11:00,,,False
3,먼나머루휴양펜션(제주편백한옥펜션 먼나머루),63344,,010-9300-3363,제주특별자치도 제주시 조천읍 남조로 2528,33.4883503052,126.6503651599,"제주 편백나무 한옥 펜션 먼나머루는 펜션, 찜질방, 카페를 함께 운영하고 있으며, 편백나무에서 직접 추출한 원액으로 개발한 천연 세안제품을 특허를 받아 판매하고 있다.",독채  17평,20.0,5.0,,전화,있음,"찜질방, 효소방",없음,없음,없음,없음,없음,있음,없음,없음,없음,없음,없음,,,False,False,,False,13:00,22시 이후 입실 시 연락 필수,13:00,12:00,,12:00,,,False
4,쉴띠 휴양펜션,63526,"신동심, 오수진","010-3697-6695, 010-4692-1104",제주특별자치도 서귀포시 안덕면 한창로 104,33.2728501585,126.3654364221,"쉴띠는 제주도 방언으로 쉬는 곳이라는 뜻이다. 제주도 서귀포 안덕면에 위치한 이곳은 감귤농장도 함께 운영하고 있고, 제주 1년 살기도 할 수 있다.<br>","100평, 3층",48.0,12.0,,전화,있음,,없음,없음,없음,없음,없음,있음,없음,없음,없음,있음,있음,,"- 10일 전 취소 전액 환불<br>
- 9일 전 취소 90% 환불<br>
- 8일 전 취소 80% 환불<br>
- 7~4일 전 취소 50% 환불<br>
- 3~당일까지 취소 환불 불가",False,True,10,False,16:00,,16:00,11:00,,11:00,,,False
5,브릭216,63543,황선웅,010-4382-0216,제주특별자치도 서귀포시 이어도로 216(대포동),33.2408771391,126.4434470348,"BRICK 216은 중문 관광단지와 강정마을 사이에 위치한 전 객실 푸른 바다 전경을 즐길 수 있는 숙박업소다. 저렴한 가격으로 부담없이 휴식할 수 있으며, 깨끗하고 편안한 객실, 친절하고 완벽한 서비스를 제공한다.<br>","3층, 300평",75.0,20.0,,전화,있음(카페),,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,,False,True,15,False,15:00,,15:00,12:00,,12:00,,,False
6,남극노인성(남극노인성 전통한옥 휴양펜션),63602,김경필,064-733-8869,제주특별자치도 서귀포시 하신상로 216(상효동),33.276161941,126.6066709829,"남극노인성은 한 번만 봐도 장수한다는 별, 동양의 28수 별자리 중 우두머리 별자리로 서귀포에서 볼 수 있다.",15평,23.0,6.0,,,있음,"요가실, 명상실. 다도실",없음,없음,없음,없음,없음,있음,없음,없음,없음,없음,있음,,"일주일 전 80%, 6~7일 전 50%, 3~5일 전 30%, 1~2일 전 10%, 당일 취소는 환불 불가(기상이변으로 인한 환불은 100%)",False,True,7,False,15:00,,15:00,11:00,,11:00,,,False
7,백패커스홈,63592,김슬기,010-7552-4002,제주특별자치도 서귀포시 중정로 24-7(서귀동),33.2470449521,126.5589896584,"동남아에 여행 온 듯한 분위기로 신관 16대, 본관 11대 CCTV 24시간 운용 중이다.<br>
서귀포 시내에 위치. 도보 10분 이내 먹자골목, 올레 시장 등 다양한 먹거리
올레길 코스 중 6코스, 7코스 근접(올래 여행자센터 근방 위치)해 있으며
주변 관광지로 천지연폭포, 새연교, 이중섭 거리, 매일 올래 시장, 정방폭포, 쇠소깍, 외돌개, 서귀포 아랑조을거리, 올레 6코스 종점)이 있다.<br><br>


1인실부터 4인 가족실까지 호텔과 같은 편안한 개인실 다량 보유하고 있으며
도미토리 남/여 객실 층 분리 운영, 모든 객실 내 화장실/샤워실 보유(샴푸, 린스, 보디클렌저, 치약, 비누 등 비치), 넓은 주차공간 보유 (최대 20대), 스쿠터/오토바이 주차장 개별 보유, 실내/외 취식 가능한 휴게공간 보유하고 있다.<br>

외국인들이 많이 찾는 제주 최대 게스트하우스로 외국어가 능통한 직원이 근무하고 있다.",지하 1층~지상 5층,158.0,34.0,,전화,있음,"무료 다트게임, 보드게임 대여, 야외마당 상시 사용 가능",없음,없음,없음,없음,있음,있음,없음,있음,없음,없음,없음,"객실명:4인 도미토리
객실크기:0평
객실수:0
기준인원:4최대인원:4
객실내 개별 화장실, 개인락커 구비, 무료 와이파이
비수기주중최소:240000(성수기: 240000)
비수기주말최소:240000(성수기: 240000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:PC:케이블설치:인터넷:Y
냉장고:세면도구:소파:취사용품:테이블:드라이기:Y
객실명:6인 도미토리
객실크기:0평
객실수:0
기준인원:6최대인원:6
객실내 개별 화장실, 개인락커 구비, 무료 와이파이
비수기주중최소:20000(성수기: 20000)
비수기주말최소:20000(성수기: 20000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:PC:케이블설치:인터넷:Y
냉장고:세면도구:Y
소파:취사용품:테이블:드라이기:객실명:더블룸
객실크기:0평
객실수:0
기준인원:2최대인원:2
객실내 개별 화장실, 개인락커 & TV & 테이블 & 화장대 구비, 무료 와이파이
비수기주중최소:45000(성수기: 45000)
비수기주말최소:45000(성수기: 45000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:PC:케이블설치:인터넷:Y
냉장고:세면도구:Y
소파:취사용품:테이블:드라이기:객실명:트윈룸
객실크기:0평
객실수:0
기준인원:2최대인원:2
객실내 개별 화장실, 개인락커 & TV & 테이블 & 화장대 구비, 무료 와이파이
비수기주중최소:50000(성수기: 50000)
비수기주말최소:50000(성수기: 50000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:PC:케이블설치:인터넷:Y
냉장고:세면도구:소파:취사용품:테이블:드라이기:Y
객실명:트리플룸
객실크기:0평
객실수:0
기준인원:3최대인원:3
객실내 개별 화장실, 개인락커 & TV & 테이블 & 화장대 & 미니냉장고(프리미엄 트리플) 구비, 무료 와이파이
비수기주중최소:60000(성수기: 60000)
비수기주말최소:65000(성수기: 65000)
목욕시설:욕조:홈시어터:에어컨:TV:PC:케이블설치:인터넷:냉장고:세면도구:소파:취사용품:테이블:드라이기:",시즌별 규정에 따라 상이,False,True,12,False,16:00,,16:00,11:00,,11:00,,,False
8,포에마,63014,김현완,010-8827-4101,제주특별자치도 제주시 한림읍 명월로 13,33.3917604304,126.2647341855,"포에마 스테이에는 돌담길 건너 탁 트인 제주 한림 명월의 나른한 밭, 그 뒤에는 제주의 서쪽 하늘과 옥빛 바다가 있고 사이에 봉긋한 비양도를 품은 낮과 밤의 리듬을 가진 깨끗하고 정갈한 공감이 있다.","3개동 건물, 건평 212평",36.0,10.0,,전화,없음,키즈카페,없음,없음,없음,없음,없음,있음,없음,없음,없음,없음,없음,,"'예약 일정의 부분 취소'는 어렵습니다. 예약 변경은 전 일정 예약 취소 후- 다시 예약하셔야 하며(환불규정 적용), 예약은 입금순으로 적용하고있습니다.<br><br>
환불규정  (공정거래위원회 고시 제2014-4호에 따릅니다.) <br>
- 예약 이용일 기준<br>
10일 전: 전액 환불<br>
7~9일 전 :  10% 공제 후 환급<br>
5 일 전:  30% 공제 후 환급<br>
3 일 전:  50% 공제 후 환급<br>
1 일 전~당일:  80 % 공제 후 환급<br>
'예약 일정의 부분 취소'는 어렵습니다. 예약 변경은 전 일정 예약 취소 후- 다시 예약하셔야 하며(환불규정 적용), 예약은 입금순으로 적용하고있습니다.",False,True,10,False,15:00,21시 이후 입실 시 미리 연락 필수,15:00,11:00,,11:00,,외국인에 한해 선별적 가능,False
9,엠제이호텔,63129,,,제주특별자치도 제주시 신광로4길 16(연동),33.4890448657,126.488415326,"엠제이호텔은 제주 국제공항에서 5분 거리인 제주특별자치도 제주시 연동에 위치하여 여행 및 비즈니스 등 다양한 제주도 방문 목적에 용이하다. 
엠제이호텔은 제주시에서 가장 번화가인 차 없는 거리에 위치하며, 쇼핑 및 음식 등 다양한 상가들이 있어서 하루를 즐겁게 보낼 수 있다.",,,34.0,,,,,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,,"- 사용 예정일 3일전까지 : 총 요금의 50% 부과
- 사용 예정일 7일전까지 : 총 요금의 50% 부과
- 사용예정일 당일 취소 : 총 요금의 100% 부과",False,False,,False,14:00,,14:00,12:00,,12:00,,,
